Time,Amount,Class,Prediction,Actual,Correct,time_delta,day_of_week,hour_of_day,amount_normalized,avg_transaction_value,transaction_type,card_present,international,online_purchase,repeat_merchant,high_risk_merchant,location_variance,merchant_category,device_type,distance_from_home,velocity_24h,velocity_1week,customer_age,previous_fraud_merchant,card_age_days,customer_tenure,purchase_frequency,decline_rate,payment_method,authentication_method,ip_risk_score,browser_fingerprint,Fraud_Probability,spending_rate,amount_deviation,unusual_hour,intl_high_risk,timing_risk,high_value_transaction,velocity_ratio,distance_merchant_risk,Unnamed: 30
0,149.62,0,Normal,Normal,True,26.984203377988973,5.0,15.0,0.3527309774331518,727.402645684187,0,1,0,0,1,1,51.2475082573995,7.337498202725778,2.467598891174857,187.3390054165488,17.102367835812196,35.378832704510785,59.33319704571862,0.869674019463901,281.6395988090944,381.8415884464725,5.780061355107683,0.2840440009426347,3.361469950569924,1.914308575547932,0.9130920416445576,0.8183717091405718,,149.62,727.0499147067538,0.0,0,0.5,0.0,3.383178116801094,0.0,
0,2.69,0,Normal,Normal,True,67.87822095758982,4.0,14.0,-0.6495633914741138,247.35185866559948,0,0,1,1,0,0,33.94056412551071,8.883347903397581,2.0443586909157845,655.9153417824228,17.822032315630217,21.508459359001623,75.29327832146473,0.6903218823481247,140.80304813274844,36.21539715401463,9.230494721472455,0.1910528104986121,3.4633013153339163,2.864562607446506,0.8159973144086342,0.8458822303750155,,2.69,248.0014220570736,0.0,0,0.0,0.0,5.798352901873645,0.0,
1,378.66,0,Normal,Normal,True,27.007490905738305,2.0,16.0,1.9151450675067927,986.0678856328228,1,1,1,1,1,0,32.66814269137448,6.697651253287778,3.507239261683443,441.9647155130141,17.72670464421658,49.999999998334125,18.0,0.0,401.8545567750784,825.4847069595206,22.39801181081468,0.1111699166511355,2.1589771844919605,2.065193178540192,0.7844117505827202,0.7886146802404173,,189.33,984.152740565316,0.0,0,0.0,0.0,2.481391255497225,0.0,
1,123.5,0,Normal,Normal,True,33.291163432392075,2.0,14.0,0.1745513754740027,584.6386607045307,0,1,1,1,0,1,9.535098009669856,8.610428600065365,3.077358018149889,257.7257688988451,17.202304114913577,0.4022443671498809,49.2676413022587,0.3357649641446846,79.74163121272603,231.9191892258338,4.4790465665492905,0.0,4.7291224575334905,1.8153222018765665,0.8648411292590803,0.8818174364032821,,61.75,584.4641093290567,0.0,1,0.0,0.0,294.2401617962748,0.0,
2,69.99,0,Normal,Normal,True,30.21471162075552,6.0,18.0,-0.1904712317554792,999.999999947622,1,0,1,1,0,0,33.100896545756164,7.070221199461283,2.182874376649325,128.61485689583606,13.626505804285427,13.838164173582951,59.65692526148938,0.9999999999673772,350.68800211857683,396.628442900228,5.340383269004192,0.3010383375529893,2.479599556702377,3.999999999698341,0.9715797718155322,0.999999999923106,,23.33,1000.1904711793775,0.0,0,0.5,0.0,6.889448144789563,0.0,
2,3.67,0,Normal,Normal,True,41.95032620111785,4.0,13.0,-0.6428782456119405,288.6505452306227,1,1,1,0,1,1,22.46949553065738,10.28417733039526,2.085251885987013,597.1432740468186,17.85057261253951,19.54370728463811,74.23092461545325,0.727051610646721,208.49823374815352,65.40522942893031,7.149993473432385,0.1838334017694766,2.4089963793195714,2.8042918907914323,0.9950269417847932,0.8969060512842696,,1.2233333333333334,289.29342347623464,0.0,1,0.0,0.0,6.391278150123944,1.0,
4,4.99,0,Normal,Normal,True,68.48402765649355,5.0,14.0,-0.6338737634302378,440.08368640468905,0,0,0,0,1,0,47.98073377185299,9.395075858688244,2.320228054273041,0.0,19.15968707478136,11.756197108166688,59.79123109944813,0.7230125021751062,74.64649242057222,132.9371053681706,5.069159340471298,0.0904183111645816,4.9999999997364,1.708812447516801,0.8456216817794407,0.8385339363927483,,0.998,440.7175601681193,0.0,0,0.5,0.0,11.401476000972323,0.0,
7,40.8,0,Normal,Normal,True,38.4517038584509,6.0,21.0,-0.3895930763644977,50.0,1,0,1,1,0,0,16.44097440272488,12.333005672841466,2.440973486190849,172.64553540254786,12.748639924902614,22.35096483178376,66.06820637105436,0.843742760695299,102.28281423275163,3649.999999833408,8.517073437664376,0.1202163103590136,1.927998555369697,2.329030974459549,0.0,0.0,,5.1,50.3895930763645,0.0,0,0.5,0.0,3.9914401934945047,0.0,
7,93.2,0,Normal,Normal,True,34.444834658717,4.0,12.0,-0.0321424200605385,441.45499575327807,1,1,0,0,0,1,20.547607346635843,19.010465530816724,4.999999999922306,154.10258341490194,18.759795069436585,5.443760343397103,63.780058039111246,0.9239371644516448,194.33439086843856,290.01878904330874,4.252362998914534,0.4999999999771394,4.006407280242067,1.3259454920077378,0.8301182420865656,0.9440605568087366,,11.65,441.4871381733386,0.0,0,0.0,0.0,24.091788523619773,0.0,
9,3.68,0,Normal,Normal,True,43.35590858635507,3.0,13.0,-0.6428100298378366,249.92850303471567,1,0,1,1,0,1,21.46578338983233,10.58832652294835,1.9166285523358564,527.0736302623891,16.53336090558282,13.42332798862216,79.9999999982918,0.885261178258052,260.6783072407928,1.0,5.61190519716119,0.1807190211198227,2.8388242656884493,2.768949692044459,0.9898330884000018,0.8984403871247392,,0.368,250.57131306455352,0.0,1,0.0,0.0,8.617326876687324,0.0,
